wss.1004f30be305f33d28a1548e344f0e2e	111.97104\,84.16881\,0.0
wss.1e3973b0d7a7a942cc2537a6fd308d2f	51.39995\,9.048643\,25.785828
wss.1e3d1accb45d201df75b791738ce5d1e	210.35791\,53.36\,201.87372
wss.1e3d89eb3b5427053bdd31f1cd9eec98	7.815155\,7.7680464\,7.768078
wss.1e3df0ab57e8ca8587f357007f9e75d1	43.46383\,68.468124\,153.0464
wss.1e3f768292ac31228af30108ea9ccb6c	86.57837\,116.54692\,3.4443512
wss.1e4a7cb88d31716cc9c93fe51d670e21	205.92557\,79.20214\,109.562965
wss.1e4d007084c9c0a8ca4ededb9b0e509b	77.77073\,99.54846\,63.215164
wss.1e57738f60665b1a908caac6d5f8ca97	86.276726\,57.616104\,34.266113
wss.1e5abf0465d97d826118a17db9de8c0	25.917768\,40.05954\,25.917768
wss.1e5ef517bc4f65ec60bb643195191255	15.458191\,12.598831\,3.4924927
wss.1e60ebe04cc8c926e74334dc50abcb	128.70891\,88.77743\,123.09823
wss.1e6228300b0d9c4e92f471a27a9ee4a0	398.77902\,59.69\,152.39996
wss.1e65a5c425f602d435b3d63776480dcf	97.78998\,76.2\,23.058952
wss.1e6a212abb46d63df91663a74ccd2338	65.733894\,96.55571\,63.756866
wss.1e6b75be3fdbb944cec8a10ad1c084eb	132.1551\,557.48486\,50.719402
wss.1e6d470b0330afe7abccd5469c032787	177.00694\,85.55335\,88.50347
wss.1e700065e92a072b39a22f83a4a90eb	15.501622\,7.169898\,26.783705
wss.1e747d39be07ca525f037ea583cdb0ca	38.19288\,81.67617\,55.77539
wss.1e89523035f87d0e770b3ff04033be4b	109.26592\,103.412384\,64.44191
wss.1e8e7516bbcebffa9747aeab33832f4	20.396194\,75.48618\,41.328526
wss.1e96607159093f7bbdb7b8a99c2de3d8	194.47469\,106.62039\,107.21021
wss.1e9b2d5d65a8b7c29fe8663d47f73813	27.654781\,171.56659\,27.654781
wss.1ea53d7144e90f8d3d57bacf9d130342	3.7689104\,1.6008502\,31.334412
wss.1ea8287b19d70a734e7d6c893cb7df84	26.352499\,4.13258\,21.11375
wss.1ea895308f2aa98f966097adcefba56	134.45793\,38.416504\,46.099937
wss.1ea9ea99ac8ed233bf355ac8109b9988	13.518471\,6.5955334\,10.297899
wss.1eb1a8acd4185f49492d9da2668ec34c	65.39991\,95.77644\,65.305435
wss.1eb3e5f373b351a0b8e86b5a9c3708b2	44.368683\,209.10161\,44.368782
wss.1eb4920ad70d9138c92050bd9c811336	218.41956\,145.61304\,145.61363
wss.1eb4bc0cea4ba47c8186c25526ebdaa6	161.57289\,52.109592\,178.4969
wss.1eb8558d0f6885a1268ecf2838ad6f15	79.43799\,111.29078\,85.669846
wss.1eb88f96d4b3d161f2260da775be0117	30.194717\,51.275387\,27.311426
wss.1ebc20758e0b61184bf4a6644c670a1e	186.83565\,72.522446\,143.2316
wss.1ec297183c8aa37a36c7d12bccd8bbd	4.61699\,32.896053\,1.4428093
wss.1ece3fd34c7d9d97bea2befbdcff46e	91.44\,94.04422\,243.84
wss.1ed01a4f2f9c65fe2cd653bc7e537294	66.6458\,49.259933\,63.748146
wss.1ed2e9056a9e94a693e60794f9200b7	208.7149\,91.112274\,93.93346
wss.1ed7ce06af99b35e89374beb80161657	60.655743\,160.83061\,147.71648
wss.1ee405020c96221ec3648f83bb1262ce	35.83152\,64.21788\,32.536728
wss.1ee4d98644aac17698d5fc0473d00a1c	122.94124\,105.00367\,49.76924
wss.1ee6393153a3146ebc19762eaa7ba40f	166.4892\,100.58733\,62.202225
wss.1ee777624ac8375025009b04306ab688	31.62474\,25.299768\,63.24932
wss.1ee865178cd126fe3bfd7d6656f05358	47.314762\,162.75183\,47.314728
wss.1eed5294b9a1361e604a7bc48dd033be	224.64015\,285.78302\,132.69443
wss.1ef68777bfdb7d6ba7a07ee616e34cd7	13.650584\,49.08107\,13.650584
wss.1f00a773e33908a3abb564bb0657e0d6	45.598267\,37.769924\,43.29584
wss.1f0b5514d93f39ebd189eb81471216ad	104.738495\,162.92654\,64.73421
wss.1f1219370f074edacd80e82100992c25	1596.39\,270.76144\,2024.3799
wss.1f13b46cbc4741b3c2e50348f23d3d	37.17268\,68.76946\,75.58445
wss.1f24552c89b7b171a7b307ff2d7f15c4	86.426605\,66.87154\,14.8767395
wss.1f272d022ffe6e79fccf04aa26d69912	23.267975\,41.98654\,20.941193
wss.1f319101d3c05a16886a4b751e0cc0b5	141.16585\,141.16585\,43.011467
wss.1f31de5c667428557b67ce6ebb2752f7	90.79557\,295.58487\,230.80219
wss.1f3c60a24e6a25cef7707714e177309	2051.3699\,5056.6577\,1003.85016
wss.1f3cd96c1e690347cfb1543b92a412e2	23.741621\,0.39569372\,22.158846
wss.1f3da20afadb149896716aabcb2fff20	71.49997\,54.99989\,71.49997
wss.1f3ef510e78072cd83699794a8ab2e92	23.542656\,48.49475\,29.655083
wss.1f4916966dd9a17dc38d01352fb36d59	17.500347\,38.913544\,38.267467
wss.1f4e56064de606093e746e5f1700ce1a	10.869143\,20.649776\,1.9069426
wss.1f507b26c31ae69be42930af58a36dce	41.66809\,28.440788\,39.458466
wss.1f53de73d3807e07575bf8a4b14be4f4	74.58101\,54.29104\,60.439518
wss.1f5456592f5faf94ff077ba6013b959c	60.96\,206.0585\,75.15225
wss.1f59ba1fc5d296a817a0d4867f131bc	35.590416\,60.503906\,40.810333
wss.1f5c74f0a55cbf9798d5fc0473d00a1c	32.36331\,66.10382\,32.363693
wss.1f6a7f3705d791762c91206be77753e3	36.953953\,23.756113\,22.876257
wss.1f7301bb64526ce9d4cdf759998ef5c2	118.89213\,115.62892\,168.77194
wss.1f7f3ab6281052bf1f6a5b0146bf3030	73.82393\,196.16798\,74.9885
wss.1f82011c2303fc7babb8f41baefc4b12	55.13391\,99.25349\,62.921936
wss.1f8275f1c106144ff11c3739edd52fa3	35.572308\,50.301414\,39.31641
wss.1f8a542e64756d349628684766da1bb4	45.516747\,48.179974\,45.516693
wss.1f8db518577ec1bd1e7057921f1aaba	246.8575\,67.05398\,194.87761
wss.1f8f11818515ad253321831d2245cf06	18.782284\,19.13888\,8.254238
wss.1f983ac197c6536299e70de063b51884	76.2\,166.6875\,78.104996
wss.1f9a0782a35ddd20ba733edf22301091	45.72\,77.47\,53.253387
wss.1f9f7bfaaa3ece275c9d176381092c91	195.48737\,190.42845\,53.927864
wss.1fa5c00ef4aa25194d113662b02c4d3f	96.520996\,96.62628\,32.328552
wss.1fa99c7b98d1df4c1fc56912e22744f	100.206436\,101.67867\,1.3549118
wss.1facaa0eb35496fb69783ac218a8a2bf	39.72846\,90.49107\,39.72846
wss.1fb5f662caaaefc12a46d433750272a2	3.9801636\,14.199997\,3.982666
wss.1fb628f164cd9061eddf855432d54f76	8.367294\,34.180706\,24.92451
wss.1fbfbc7ff9860fd72f725e92ff2918b6	241.48328\,117.93369\,230.2515
wss.1fd27f66f017edfbdf3a1b0d597ce76e	73.38265\,171.17993\,54.782192
wss.1fd3f0eb8e337ef7ac00fd1150223027	160.65079\,173.38588\,53.591393
wss.1fd45c57ab27cb6cea65c47b660136e7	202.84674\,83.82289\,111.84448
wss.1fd5d38c4f6de2672798abc1e0f31253	39.525547\,31.47565\,11.52454
wss.1fd8d3cdf525532b5b5a685c28abd3e	26.111843\,39.99599\,3.3508968
wss.1fe230aa46a79f0e8a0d9b4a02a1e879	3508.6335\,3709.2578\,0.0
wss.1fe6ed518ca583a77215a1e3ffbff428	39.669678\,5.761897\,37.436234
wss.1fe7a3705387489e4773d7a183337d9	35.267944\,22.152359\,21.929901
wss.1febe89e0336d5bcee106795de609335	37.836437\,60.022316\,37.836437
wss.1ff1260bd3c55525bbdbbae7475bcb1e	108.93338\,84.14238\,37.747154
wss.1ff5b518730a1a24488cb43788e3ee3d	55.61023\,81.4717\,131.6077
wss.1ffd19b5c7ca244758c88d30f502a452	176.07272\,237.10587\,167.84793
wss.1ffe045c4108ded88f3ca321de88170b	90.33546\,61.29296\,15.663747
wss.2001add3cc7d9cbfe80df3c23687288a	40.95249\,63.643913\,123.81169
wss.20047e41f5129e9d13b545a1b395c76f	64.34178\,6.042099e-13\,73.50505
wss.2006594066d33781f5c0e00a45781a74	678.2008\,1040.7996\,411.69995
wss.200749f1962936ff46b5767451aab69c	71.19001\,229.82585\,133.51569
wss.200c125fcc1cb96814c53a0b8e14d8b8	458.7624\,134.40799\,584.6814
wss.20120e61e199b8cfd319c38340319ae4	61.16516\,101.484566\,60.59382
wss.2018b7614e77d726c1ccec171a275967	15.803784\,8.124638\,26.357199
wss.201cfa3262dc5a72add6522bbc1134e9	18.365753\,3.6400359\,70.02853
wss.20275149a408d1cdf6cfd3a5fc9e8bf6	80.62642\,85.54742\,110.48364
wss.2030e52f2f45e29b5c82484c785d6f32	12.488723\,9.948723\,5.08
wss.2036b7caa21802ae2a40bb58e14b2f89	39.99992\,91.202515\,19.019995
wss.203856ad7e4c41cf9917ad57402f53f1	156.9239\,182.87999\,65.04636
wss.203ebd20b1546f318de5f815e8387cfc	13.203036\,1.7706227\,4.3810215
wss.2041090b29183a2b6a4a3befae9ee551	4.399407\,7.62\,5.08
wss.20434d1c763d0842d77055f14f845370	112.47867\,293.28323\,129.20285
wss.204b0d7f9dfc9fc8c45d02782cbf85a	11.999994\,4.6613317\,12.00001
wss.204f6bf36ffd3d943fee5f7d829f9049	51.56864\,110.48968\,50.580315
wss.2052e69d5151c5d535836c728d324152	20.32138\,75.09039\,20.321396
wss.2056cbd13e92764a61b3b6f2928a81b2	52.13005\,55.70494\,55.257843
wss.2059d4c3d4da27017b3b3e2394788c21	80.70999\,114.32635\,27.986622
wss.205ff0db4e9e3dee6e71174964d90e49	69.36912\,99.09501\,36.724827
wss.20663f59bb090670773ac2123317e26f	75.42877\,129.47739\,23.171364
wss.2068d2fab87a6b992c652845f676c87	164.33377\,202.59128\,96.631485
wss.206bb4f7102d4dfb1ed2fa3d3d4463bf	9.802292\,26.428213\,67.15254
wss.206c0b13dea6bc69250ac99e3f2c51e9	128.40732\,164.59476\,49.028137
wss.2073dd06f62b46d43c8079bde16af00d	32.55182\,29.833279\,32.55182
wss.207407c5961c7d6388864d814c5c8043	81.111626\,109.1251\,86.81616
wss.208610aa6d607c90e3f7a74e12a274ef	3.7422924\,3.961167\,40.193623
wss.208977431e9f1ebcd85b29704f5fc7f2	128.79933\,138.89183\,76.333786
wss.20986e93ae68b30a5a8225587a4860b1	35.559998\,6.1141357\,29.05125
wss.209dffc2dbbf8f67a8699b6183baa203	73.90561\,116.86787\,82.97299
wss.20a2336845197b85100e9bd5c4b0af54	161.14484\,89.56185\,186.05948
wss.20a5672ab6767a436fdde33224151fa5	73.38783\,83.26697\,73.38784
wss.20a71ec7fe4d6e714a0f38cf5755278	163.96857\,118.490685\,122.72247
wss.20ab8bdaf7558cabfd5a5a5596b9840d	79.53912\,224.30487\,75.91801
wss.20ae63b10b3407b57eaeab1f0c9120b7	21.812117\,41.48054\,75.02267
wss.20af1710b9d1d859dcd6d3c01c67425b	111.7758\,72.90817\,171.0715
wss.20b0a82068ae767c34cc22336880d45c	59.69924\,95.62727\,70.6893
wss.20b2186bf6baa52cde650492e45fb14f	155.067\,92.31095\,74.7687
wss.20b4891228ecfb4876bb31db0358e9c6	60.949635\,24.536373\,25.1882
wss.20b6d398c5b93a253adc3470b30138f3	205.65395\,88.01885\,103.20841
wss.20b7adb178ea2c71d8892a9c05c4aa0e	13.6830845\,32.902534\,12.958911
wss.20bc27d79d2367dc9d5290fe0662a463	35.09072\,31.893568\,42.547184
wss.20bcdc4ce95f6925e2c8bc7870622f00	50.89067\,4.0710716\,26.177979
wss.20c030e0d055b7aeb0892e337a99f42d	222.19391\,74.754326\,75.66376
wss.20c138d9e8a6bf24d84b8ba651dfb8ac	75.05969\,130.2453\,75.057434
wss.20c3e09d6b0e24e890f272dd5659410a	146.31197\,111.66297\,88.48773
wss.20c5096ea98cc955920de219c00d1c3b	3.430619\,7.7530313\,16.518429
wss.20c7d4364e94c8f9ec5c5d2f7741e6a	89.00499\,106.16085\,89.005035
wss.20cdd491a443bc30d9651cd1d591d64d	139.13333\,20.01094\,62.813454
wss.20cdfd686d15f19d24c45214c6ad80ff	9.7000065\,100.000046\,80.00009
wss.20cfbceef0e7a0cbfcd661a6f11bee6e	300.00473\,106.21924\,2.3790145
wss.20d42e934260b59c53c0c910fd6231ef	41.434113\,31.656044\,37.191376
wss.20d8d3dc2c4c050cb05e5a74eacb1a2a	84.304665\,94.50376\,76.0625
wss.20db0373e1d817c0502b0796fdf972	287.9672\,114.20247\,88.60535
wss.20db79727ed9c7599aefc6fb585e9617	866.3661\,0.0\,740.349
wss.20dbd198ca46633e36caf140b8378fdc	54.854076\,186.50546\,31.56931
wss.20dec770602a8ac2331999dc8823fe0d	24.15297\,30.360222\,10.491961
wss.20df55d7ba045855773877a7fdcf63b9	22.357908\,2.93035\,11.087433
wss.20dfcd6b5c85e9263b4f696523e396c2	37.7642\,40.242165\,14.566799
wss.20ebfb7c554be346a6a0e8ba576ee4f7	23.134178\,100.24832\,25.575668
wss.20ed6a41058e6b2659f9892433e1b1f4	40.6506\,57.62115\,38.660995
wss.20eebe2dd79d8a663c21e83bef1bd7ca	125.98305\,109.73083\,215.43494
wss.20ef9affd966bb53727b087f26084eb	883.81586\,972.92847\,748.4441
wss.20f7a7b5c9ab4bf95e014a070b5e3ea0	11.781067\,19.787298\,2.6688995
wss.210076a2e26d5d53adc3470b30138f3	221.4731\,67.78396\,83.90308
wss.2109b61533489495c4cbe5e698cebc61	24.597681\,39.98261\,24.597681
wss.2110a8c94d86e6acfda902544c9db9cd	20.473282\,83.233665\,69.9159
wss.2117d3a9094a6b0166123e198876a388	4288.4443\,6002.7056\,2132.666
wss.2120f438650d9ff4cd28c96db07226ef	1791.969\,1930.4\,640.7151
wss.21272fcb242e4e85a4312dac0c0f355c	16.663843\,19.788313\,16.663843
wss.212d2ce847b92b6b65741ae386874193	191181.73\,780595.3\,552632.6
wss.212dd308cb173e0a90bc746c9d93a25c	199.83148\,36.42752\,143.62877
wss.2135295ad1c580e7ffbff4948728b4f5	42.12126\,27.419607\,39.14473
wss.21355ba225ee32c68d1322963ff40d1e	113.15853\,177.36084\,109.34013
wss.213b5be53b6a7f995c5bea8401ad1a66	25.087276\,160.37788\,33.97552
wss.213bd9cbd5ed1dcdfcb8d8c6d4df8143	86.51337\,42.693176\,43.986626
wss.213d39983b0a865d1369827a16f97392	11.999976\,7.6154532\,21.23999
wss.213dbdf39a75ec331e93ca76287e533	83.75078\,123.5324\,67.167564
wss.213dfbf9cb9fc5f8ad6aab3a3d159f4d	230.70642\,250.4158\,390.921
wss.2149ef35092881bef54e1b6f41fdd78a	54.51082\,3.0126235\,39.3878
wss.2159e03900c54d0f2846fa729d90e125	9.842539\,28.829447\,19.13054
wss.215b21155b328d319201f2703b45dd7	70.18277\,131.11095\,62.52115
wss.215ce10da9e958ae4c40f34de8f3bdb8	54.624798\,16.562164\,21.191889
wss.215e4b59683247378a3e8bd3a4e48433	5.787649\,23.894985\,33.553356
wss.215f72973cfa2c9a42c2142b4fb342c8	214.19946\,129.51212\,267.27686
wss.215f85a135181da456ae031564f8409c	66.49575\,104.185005\,103.67805
wss.21601b2073df39a1ba03b08fad766c06	37.025005\,38.34598\,27.504906
wss.2163e8058aaa96a771879a51f4bce289	15.125116\,24.99856\,21.422764
wss.216437069db72d364c33a5741e8e076	8.500009\,8.690001\,4.010038
wss.2164fa23c9aa59196f9e9f74beb7c348	114.84373\,171.48444\,58.203236
wss.2168308786e7e2ddf1783a44a88d6274	64.84853\,79.130646\,64.84853
wss.2171a751de0a0c5aae29bc118c70aa10	4.970605\,2.4212778\,5.261491
wss.21739712276d970c62261c712c0aec55	218.12012\,208.82433\,105.390945
wss.21758793e5d42201f9b4d9c4764ac69a	69.05334\,205.57913\,100.17305
wss.2176bbce52d00c8dfac6a9b2b046f873	75.8825\,21.86686\,72.474174
wss.217b1833a221d4e5552fcffe0a478fe2	58.893803\,50.8\,31.115
wss.217b47212a5a521ec6870dc41f78676b	20.053984\,71.253586\,12.344696
wss.217bf5bf88842058b8a06a6203bc49a9	18.624542\,66.30125\,55.502884
wss.217dd75324b38d07fec515d9b77eb8c1	63.704056\,99.98442\,60.596542
wss.2180c4770b8c4fce951b9c885c695a12	21.773783\,21.228912\,21.773783
wss.2181392dc1ff2633cbc1cd31e3359c44	114.06034\,136.59079\,33.7551
wss.219082556f24fd1f105b4c939ec33bd	102.47904\,81.323906\,98.33811
wss.2193f3624198ede23f0af1eceae2dd4	13.617432\,37.739014\,109.56995
wss.2196be6beffe9991a3c9394112c76917	98.43977\,162.03311\,31.20489
wss.21983e6ee8a6992c9d151674c6eace6c	42.393764\,28.944424\,38.039062
wss.219ce66612fd8d5499595b5eac8bb350	20.187729\,0.8422775\,1.2373428
wss.21a2fb1da3935a37b9c6deef486a7d8	89.17164\,91.4804\,1.5303411
wss.21a551f20458c5255d33831e71fa52	190.9519\,51.366985\,119.00866
wss.21ad9636dfcc9578c78df40cf2e9097a	65.686584\,67.32598\,30.20813
wss.21addfde981f0e3445c6cb69e0968783	239.56328\,35.695427\,44.91811
wss.21b22c30f1c6ddb9952d5d6c0ee49300	229.6205\,60.684803\,64.17526
wss.21b24d7acc390a3972a5c49c981e6593	18.839989\,0.6228094\,0.5393679
wss.21bca6a33809c7f26f2deb6dd348d3c7	34.223793\,169.18095\,34.22379
wss.21beeedb83c3702e91bf924be509bc17	8.468513\,15.954553\,3.9545515
wss.21bf3888008b7aced6d2e576c4ef3bde	199.65012\,66.986626\,127.8088
wss.21c04a0fa52d7c717a770b475753ca78	42.22353\,24.642986\,10.127947
wss.21c478f745fa6992a9114b2c0f43e740	30.25978\,14.333052\,59.999878
wss.21c61d015c6a9591e3f7a74e12a274ef	198.53143\,56.97858\,134.25897
wss.21c7f1ff67976e7c29cb7aca40b7cd0	66.5559\,39.410824\,69.04188
wss.21d3929b4362680e80d6227ff9b21190	418.66055\,170.82057\,75.09992
wss.21de0761d0f8f2f9342b2a88bd008cbe	55.727287\,59.394325\,55.918495
wss.21e12196172a5926a50680a89656f83d	214.41258\,135.55484\,71.61309
wss.21e25ed232808a5a6fdc47d9bd513767	36.391117\,53.180725\,60.61003
wss.21ed7cb89373a07235836c728d324152	58.685432\,60.462666\,58.685425
wss.21f76612b56d67edf54efb4962ed3879	191.32944\,72.01298\,64.141655
wss.21fb308ca737174e22f2f93459bd863e	78.89522\,83.940994\,94.002266
wss.21fb701c200d18894da5feafe6f1c8fc	96.30909\,144.46364\,53.254375
wss.22001bfff78e61574e126f39a584ce1f	86.35229\,161.30042\,110.79164
wss.2206259551e94d263321831d2245cf06	67.07828\,10.910215\,16.899916
wss.22065bf26a7da50a5c4dc8ac281ba59d	111.75999\,66.59575\,25.529335
wss.220a1d1a9fc8c117c534b4cdb1fd80d6	2.9150078\,3.2280607\,3.2310758
wss.220efd4f31815e176d445d819c3f9214	43.846092\,6.246437\,5.936447
wss.2213ac0d768e2f2b44c73a59ff49c982	84.075195\,59.865192\,38.597534
wss.2216e78a43c5d587b8e1b99345a5afd4	28.782513\,30.729803\,8.28655
wss.221b4f8702797891724d867867ccd9fb	40.780437\,79.414536\,40.780437
wss.221b8931a2e5d389a02d41ad9f5b13c0	37.16101\,5.065384\,38.47563
wss.2222345a248c4f521e624828468adeb8	18.165836\,36.9372\,18.165834
wss.2225e5c6494d2e00621b398f2c82e2d	15.908948\,30.737783\,16.045013
wss.22277b601b8f104debdcc459b19e43a6	10487.711\,569.6382\,3881.1719
wss.222f3929de7116eeab9281d3b84673cf	73.29665\,31.207703\,74.79076
wss.223988729b0e14582b89e012ef81453e	43.954224\,6.446483\,21.92575
wss.2241317f1dcd06113e7ad7df8b958975	28.223158\,3.7863321\,69.21568
wss.224c9042b88bc5dd43c0de1c963beb89	90.68579\,59.817207\,18.99177
wss.22504f0bfd115cf82a897f1d11ab4c9a	11.6189165\,25.85024\,0.4177876
wss.22566bf0880afefbdd980f08c090c645	2.711671\,6.3215866\,43.22509
wss.225905a8841620d7f6fe1e625c287cfa	106.575005\,136.82703\,87.22834
wss.225d37286bed9bb9dbf53b03c847b004	70.65631\,58.978638\,30.77887
wss.225da2a2b7a461e349edb0f98d2a2a29	75.222404\,140.75708\,29.63307
wss.22628311d11cb04677266c6c59416683	62.03923\,10.01141\,56.60009
wss.22670909b2901b254f627559b6ddfab4	138.1188\,37.5782\,34.509926
wss.227303f10a48d45f1829bffea9d18abb	150.00044\,151.99995\,65.00012
wss.22772be8165cc93ec9d2af7259032e7f	89.91893\,56.57271\,2.0479548
wss.227ed5be9d4981e57c2d6ee0f8315ede	6.4014044\,18.750355\,4.144602
wss.2280197ac01a58912dbc66eac8105387	68.007835\,92.05444\,68.007835
wss.228075cea896d30ace0e7190fd762087	13.51045\,221.88295\,34.84307
wss.2284a4b6980d2ebad5fb3ea571e6e8a8	36.031326\,63.499588\,36.03133
wss.228993da0d2203eb8af30108ea9ccb6c	110.39273\,113.62439\,3.598877
wss.228d02580021e666796c584ff1fcf56d	71.30218\,88.21175\,69.58229
wss.22900af7c7dd4b827b9c6deef486a7d8	89.41701\,91.23325\,1.9189061
wss.2292e5d0f5e4558ed2223d0d12dcfab8	217.66756\,187.64224\,95.90405
wss.2294583b27469851da06470a491566ee	38.329094\,45.67969\,60.906254
wss.2298d06de1efec2a8ab33b80d7377fc3	195.0502\,79.945564\,73.26362
wss.229cc8886a1f18fb9173fae9a2149528	86.436195\,68.66839\,86.436195
wss.22a6831f59ef0593852c49940c485735	9.327684\,42.26026\,10.565065
wss.22b7066166d83798876972681d7d64db	26.028845\,39.672462\,6.428832
wss.22c2dc4c95421cec7c35d3c5d3b1fcf7	126.29715\,53.02891\,57.95439
wss.22c68a7a2c8142f027eb00c151c6f711	192.76913\,112.09367\,104.701515
wss.22cbdf59fb7fdae277b4d8470453cb5	148.94148\,145.03331\,52.587173
wss.22d18e34097ec57a80b49bbcfa357c86	9.705243\,37.84238\,9.705243
wss.22d7ae1fdb18e75d5a1ef1b7f4e8cdc	177.4478\,114.48245\,243.2752
wss.22d8ef36dd1af509d8ff6111270336a9	20.105202\,5.7074666\,23.920992
wss.22d98a8bb922d2bfcd6416d7b2515e73	19.120686\,2.4822512\,13.664686
wss.22e275ed10e55abd810b14a81e12eca	100.18824\,76.44572\,100.18824
wss.22e4d7d512e706f76679facc1268a136	49.240726\,29.762657\,28.135996
wss.22e6d113fd6827d277266c6c59416683	90.091736\,105.44763\,5.7779236
wss.22eeb83ef02b2d33b6ad7859401587de	48.138252\,19.705847\,31.98285
wss.22f2c7aa2e81fe10fbceced242a33413	110.31809\,84.11766\,4.8264103
wss.22f3456d18843c51a3d3cfcc7a42cc66	80.506035\,19.337727\,26.73904
wss.22f63b4d311339bc357baa13baa16351	73.29875\,81.12227\,76.27731
wss.22fbb23ca13c345b51887beb710d662a	150.24597\,150.24597\,50.08199
wss.22fd6459f3de3851e4b68d3b17c43658	22.076675\,57.522675\,50.750366
wss.22fd961578d9b100e858db1dc3499392	223.30597\,70.74389\,75.21884
wss.22fec0b6bc7dd1e02b83c6aff4f036a6	51.926544\,45.079605\,18.925833
wss.22ff6fc2c81a3674823590ed8a67d74b	39.33266\,40.589706\,31.834835
wss.2307c0f4e06b01c1ff643b6971c915c2	18.367573\,30.612621\,4.86778
wss.230cd4cfe7cebc7ef15c55c2c5489960	324.9168\,214.32114\,162.62933
wss.230d57ea0d647608845e78b431e4d529	167.79471\,134.46562\,239.87656
wss.2312a8d887e8db59a193550461f84122	159.5279\,56.60654\,10.339871
wss.23160878f088ac06e7e684d25d4dcaf0	150.19058\,65.36872\,42.309746
wss.231a265be57b08cd521f9db09805b6c5	144.38846\,119.656425\,113.134026
wss.231fc7a5fee77fb49d033c6b39a97cb6	108.26116\,73.65953\,110.10153
wss.2324d60cb70c53afd0f5f4de71ba431	72.65513\,91.72826\,63.341797
wss.232638470c05b8b67ae926e211632a9c	46.104736\,84.62162\,45.375595
wss.2330e9debdedf9ff99284d844aba7576	92.27505\,86.670876\,92.275024
wss.2333cb1bbf825467becc5889eb0cb75b	11.209347\,15.614685\,1.8198489
wss.233e66db725ee1d42c990367c9f8e7f5	244.11154\,236.15497\,0.0
wss.234178eff23a44a9f93949907e492e5e	7125.3604\,20118.223\,7125.3857
wss.23448fc0b511d7b61e66636678929092	30.779602\,89.49138\,33.53569
wss.234510a95d7268ce98d5fc0473d00a1c	146.10547\,99.572174\,41.469604
wss.234ca609205d8d80a1e28099cf3c0efc	131.0245\,75.58736\,62.490437
wss.234f9a4220e3900c836f83655dcc6d7f	12.214377\,33.706673\,12.359463
wss.23554c0a79f99f5428c1be4e311395d0	18.028997\,17.776785\,41.29013
wss.2357485f84531d2bd892434c673d29c8	40.605877\,33.63777\,36.355846
wss.2358ac4425289cc499c83e2577216dac	183.39468\,0.0\,183.3948
wss.235a6dd25c0a6f7b66f19f26ac490096	18.075754\,11.1808605\,8.3286915
wss.235f6193c402d82729de8092b52ce373	441.64886\,441.64807\,2.8874212e-13
wss.2362ec480b3e9baa4fd5721982c508ad	69.88206\,46.58804\,69.88206
wss.2367a0e01767df36dc40b058754deaf8	84.737885\,112.9442\,84.73782
wss.236890f751e7f41de7c96daa922040db	140.7533\,77.62037\,1.4428128
wss.236ada1da919b4e2391e4d6c585a697a	39.77628\,10.54174\,20.263992
wss.236b6519bea2a7df3ed4e9260f9dd630	29.112106\,25.4\,23.978539
wss.236d7ffc6e78cc67eba92b622d2c95c9	25.189903\,22.19955\,17.548862
wss.236dcc97a135d37a79283d5c77809cc1	39.19482\,4.5625434\,27.12343
wss.2375dfeeab7fd8678430b7446f9e1252	127.998314\,88.42632\,66.44188
wss.23768945fc772fd855c45726420c0113	67.36358\,61.37571\,52.393894
wss.23786288bb8f13962cba66dc6aeabcd4	179.46751\,73.53182\,37.017166
wss.23851ee504b8653db4bb73dbde2fe319	71.57645\,56.608856\,37.856773
wss.2386dac99a4c729221fbac718728a36d	633.3003\,234.7655\,751.25195
wss.2387252e09b3911227eb00c151c6f711	54.477325\,125.36266\,68.049255
wss.238e0a5acc8ef3dd5cb2b1363f4a4cab	166.22733\,118.4892\,218.5119
wss.238eb70ff089d166b7154919b02cbec	199.17499\,0.5891842\,198.9469
wss.2394aad19bdb0ca8e751791317b66d8c	27.625996\,38.366665\,7.5860224
wss.23a4572a96dda133d624bbdc22e247c8	67.08501\,148.22156\,67.085014
wss.23b5ae42941ac7815b7d8e48ecc58356	122.79919\,147.47919\,69.82698
wss.23c235e1d534d51f71c47feecca8dcfd	92.60563\,57.465164\,16.871382
wss.23c90656a755239c9e55b7ed8f0209e	39.649906\,4.020007\,39.649906
wss.23d1a49a9a29c776ab9281d3b84673cf	203.74008\,93.78078\,101.869995
wss.23dc373bb4249592c0ed53f727b52939	91.44\,0.0\,60.96
wss.23e2046a065ce27522877e5441bbb8bd	1.1695447\,20.167095\,1.3504766
wss.23e6ee2b97819ece1a1f1012e818b3cc	214.46298\,228.30968\,245.06055
wss.23f305e2ca3a3007ee106795de609335	31.6646\,66.78324\,31.6646
wss.23f505acff5b099179510444cc61f839	10.100004\,2.5\,14.69999
wss.23f57f4c2d4e892327628f464dfae71f	2.000001\,1.6000011\,9.849993
wss.23f81178834ccb0df7b284f6e0adeaf4	471.43158\,70.485\,698.62415
wss.23fa6da84d3a73f2b253ef19f4ef98e	19.050003\,5.2965856\,7.619999
wss.23fb2a2231263e261a9ac99425d3b306	13.885966\,9.873806\,16.036537
wss.23fd9817d509fe472bf266a8f0187ce5	1.3631566\,15.335403\,43.939007
wss.23fe8ffecb37222b323ad87fe7d4deee	105.59175\,69.45273\,105.59175
